Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
light-my-fire-lighter-wedding,Light my Fire Lighter,"<p>This practical windproof lighter s is made of brass with polished chrome plating and your guests will absolutely love it.  </p>
<p>Why not give your wedding guests a  that they can use when they take that much needed smoke break, or to light their braai just before a kuier with friends. </p>
<p>No matter the reason for using the lighter, the connotation will always be positive because it will remind them of your wonderful wedding day</p>
<p>The lighter is the perfect thank you gift for men</p>
<p>Great for a vintage themed event</p>
<p>The lighter can be filled with lighter fluid (not included)</p>
<p>Measuring 5.8 ( l ) x 4 ( w ) x 1cm ( h ) </p>
<div></div>",Amrod,Practical,"gift, guests, lighter, love, men, practical, s, thank you, themed, vintage, wedding, wedding guests",false,Title,Light my Fire Lighter,,,,,GIFT-9391,0,shopify,10,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/LIGHTER.jpg?v=1491815495,1,Fire lighter ,false,Light my Fire Lighter s,This windproof lighter  is made of brass with polished chrome plating and your guests will absolutely love it.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
never-ending-love-keyring,You complete me - puzzle keyring - LAST STOCK,"<p>The puzzle shaped metal key ring is meant for the couple who complete each other.</p>
<p>This practical  is perfect for male and female guests alike.  It can be engraved, and for R5 extra we can add a personalized thank you tag onto the keyring for you. </p>
<p>The silver and black key ring measures 8,5 x 2,2 x 0,4cm and comes gift packed in a little black box.</p>
<p>Please note an MOQ of 50 keyrings is needed for engraving</p>
<p>On sale while stock lasts</p>",Macma,Practical,"gift, key ring, keyring, men, practical, sale, silver, wedding",false,Title,Default Title,,,,,ABA03,0,shopify,0,deny,manual,25.00,29.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/you_complete_me_puzzle_keyring.jpg?v=1491815494,1,Puzzle keyring s,false,Never-ending Love Keyring Wedding Favor,The never-ending circle of a wedding band symbolizes eternal love by its lack of a beginning and an end.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
handbag-hanger-with-black-stone-detail,Handbag hanger with black stone detail,"<p>This stainless steel handbag hanger  for the ladies €š¬œ keep your guests handbags safe &amp; clean with this fantastic .</p>
<p>A ite amongst ladies in the bridal party.</p>
<p>Includes a black gift box and a mini velour pouch.</p>
<p>Measurements: 0,9 x 4,2cm</p>",Macma,Practical,"bridal, bridal shower, gift, guest, handbag, ladies, metal, practical, purse, wedding",false,Title,Handbag hanger with black stone detail,,,,,,0,shopify,0,deny,manual,56.00,70.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/handbag_holder_with_black_stone_detail_1.jpg?v=1491815492,1,Handbag Hanger ,false,Handbag hanger with black stone detail ,This stainless steel handbag hanger  for the ladies  keep your guests handbags safe clean with this fantastic .,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
smiley-keyring-wedding,Happy Hearts Smiley Keyring,"<p>Show your wedding guests how happy you are with these bright yellow smiley keyring s. Your guests will love this practical thank you gift and it will work fantastically in a summer themed wedding or as a quirky gift that will spread the smiles from guest to guest.</p>
The keyring measures 7.5 x 3.7 x 0.5cm and is packaged in a black gift box.",Macma,Practical,"gift, happy, key, key holder, key ring, key rings, keyring, keyrings, keys, ladies, practical, sale, smiley, summer, thank you, wedding, yellow",true,Title,No engraving - R24,,,,,98781,0,shopify,933,continue,manual,22.00,29.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Smiley_Keyring_740a157f-631f-4879-bf88-d18ed09341a6.jpg?v=1491815491,1,Happy Smiley Keyring ,false,Happy Hearts Smiley Keyring ,Show your wedding guests how happy you are with this bright yellow smiley keyring .,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
sunflower-eco-friendly-wedding-s,Sunflower Eco friendly s LAST STOCK,"<p>Our eco friendly and practical sunflower s are perfect for a warm South African wedding. </p>
<p>The s comprise out of a biodegradable bamboo fibre pot, 20g soil and a sunflower seed.  Even the gift box is made from recycled material adding to the eco friendly theme.  Your guests can take their thank you gifts home and see the sunflower seeds grow from love.</p>
<p>The biodegradable pot measures 6h x 6.4cm diameter an the recycled gift box measures 9.5 l x 9.5 w x 6.5cm h.</p>
<p> </p>
<p><span> On sale while stocks last!</span></p>",Amrod,Practical,"biodegradable, eco, friendly, gift, guest, practical, recycled, south africa, sunflower, thank you, wedding",false,Title,Sunflower,,,,,GIFT-9492,80,shopify,2,deny,manual,15.00,32.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Grown_Sunflower.jpg?v=1491815490,1,Ecofriendly sunflower seed s,false,Sunflower Eco friendly s ,Our eco friendly and practical sunflower s are perfect for a warm South African wedding.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
charming-keyring-bag-charm-wedding-s,Charming Keyring/Bag Charm s,"<p>This charming keyring is a great gift for the ladies whether it be your s, bridal shower s or s at your morning kitchen tea.</p>
<ul>
<li><spanline-height: font-size:="""">Keyring or hand bag charm </spanline-height:></li>
<li><spanline-height: font-size:="""">Charms include hand bag, lips, shoe, lipstick and sunglasses</spanline-height:></li>
<li><spanline-height: font-size:="""">Carabineer hook</spanline-height:></li>
</ul>",Macma,Practical,"bacholorette, bridal, bridal shower, charming, charms, fashionable, gift, gifts, guest, guests, handbag, holder, key, key holder, key ring, keyring, keyrings, keys, kitchen tea, ladies, metal, new, practical, s, sale, shoe, thank, thank you, wedding",true,Title,Charming Keyring/Bag Charm s,,,,,9884007,43,shopify,198,continue,manual,57.00,65.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/keyring.jpg?v=1491815488,1,Charming Keyring/Bag Charm s,false,Charming Keyring/Bag Charm s ,"This charming keyring is a great gift for the ladies whether it be your s, bridal shower s or s at your morning kitchen tea.",Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,g,
trendy-key-ring-with-rotating-golf-ball,Practical key ring with rotating golf ball,"<p>This trendy and practical metal key ring with its rotating golf ball is the perfect accessory for your wedding guest's keys.</p>
<p>It will bring a bit of sporty fun to your wedding and the men in particular will really enjoy this gift.</p>
<p>This gift is presented in a sleek shiny black gift box.</p>
<p> measures 10 x 3,2cm</p>",Macma,Practical,"gift, golf, golf ball, keyring, men, metal, practical, sporty, wedding",false,Title,Practical key ring with rotating golf ball,,,,,TK12654,0,shopify,0,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/trendy_golf_keyring.jpg?v=1491815487,1,,false,A practical keyring with rotating golf ball,A practical keyring with rotating golf ball is a great  and men in particular will love their thank you gifts.,,,,,,,,,,,,,,,kg,
seo-tester,Seo Tester,"<p><header class=""entry-header"">
<h1 class=""entry-title"">55 Quick SEO Tips Even Your Mother Would Love</h1>
</header>
</p><div class=""entry-content"">Everyone loves a good tip, right? Here are 55 quick tips for search engine optimization that even your mother could use to get cooking. Well, not my mother, but you get my point. Most folks with some web design and beginner SEO knowledge should be able to take these to the bank without any problem.1. If you absolutely MUST use Java script drop down menus, image maps or image links, be sure to<strong>put text links somewhere on the page for the spiders to follow.</strong>2.<strong>Content is king,</strong>so be sure to have good, well-written, and unique content that will focus on your primary keyword or keyword phrase.3.<strong>If content is king, then links are queen.</strong>Build a network of quality backlinks. Remember, if there is no good, logical reason for asite to link to you, you don€š¬€ž¢t want the link.4.<strong>Don€š¬€ž¢t be obsessed with PageRank.</strong>It is just one isty bitsy part of the ranking algorithm. A site with lower PR can actually outrank one with a higher PR.5.<strong>Be sure you have a unique, keyword focused Title tag on every page of your site.</strong>And, if you MUST have the name of your company in it, put it at the end. Unless you are a household name, your business name will probably get few searches.</div>",Amrod,Practical,"",false,Title,Default Title,,,,,tester1,0,,1,deny,manual,100.00,,true,true,,,,,false,.,.,,,,,,,,,,,,,,,kg,
snowball-glass-ornament-photo-or-place-card-holder,Snowball Glass Ornament Photo/Place Card Holder,"<p><span>Drifting down like delicate bursts of white, winter's unique gift provides a lovely motif for gifts of the season. The Snow Flurry Holiday Ornament Place Card and Photo Holder is a snow-lover's delight inside and out, making it the perfect  for your winter wonderland wedding or holiday party.</span></p>
<p><span>More details:</span></p>
<ul>
<li>The outside of the clear, snow-globe ornament is adorned with white, flocked snowflakes</li>
<li>Inside the globe is drifting snow</li>
<li>Ornament measures 8.9cm high with place card </li>
<li>Without place card, ornament measures approximately 5cm high x 2.54cm </li>
<li>Includes matching place cards</li>
</ul>",Fanel,Practical,"snow, snowflake, wedding, winter, wonderland",false,Title,set of 6,,,,,KA27023NA,20,shopify,10,deny,manual,170.00,,true,false,,https://cdn.shopify.com/s/files/1/1914/4329/products/Snowball_Glass_Ornament_photo_or_place_card_holder.jpg?v=1491815486,1,Photo or place,false,,,,,,,,,,,,,,,,,kg,
hip-flask-keyring,Hip Flask keyring,Mischievous little s that will make your guests smile and have them excited to fill their mini hip flask keyrings with a shot of their ite tipple.<br><br>This very practical and handy stainless steel mini hip flask can be filled and takes 30ml of fluid.  The keyring has a loop so it can easily be attached to a belt.  This is a great little gadget that the men at the wedding will especially appreciate.  Also a great gift for guests at a milestone birthday party like a 21st or even a 50th.<br><br>Features and facts:<br>The flask has a screw top and is made from high quality stainless steel<br>Suitable for engraving<br>Holds 30ml of fluid<br>s measures 4 x 6.5 x 2cm<br><br>,Macma,Practical,"21st, flask, gift, guests, keyring, men, mini, practical, sale",true,Title,Hip Flask Key ring,,,,,6579907,39,shopify,452,continue,manual,45.00,52.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Hipflask_keyring.jpg?v=1491815484,1,Hip Flask keyring,false,,This mischievous little  is very practical and the handy stainless steel mini hip flask can be filled and takes 30ml of fluid.,,,,,,,,,,,,,,,g,
mens-leather-keyholder,Men's leather keyholder,"<p>The <span>new and </span>perfect key ring for men.</p>
<p>Leather and metal key ring ‚¬€œ supplied with a black gift box</p>
<p>Measuring 8,4cm x 3,2cm x 0,9cm</p>
<p> </p>
<p> </p>
<div class=""redcloth"">
<p> </p>
</div>",Amrod,Practical,"gift, key, key holder, keyring, men, new, practical",false,Title,Men's leather keyholder,,,,,MA97885,0,shopify,3,deny,manual,24.00,28.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/leather-key-ring.jpg?v=1491815484,1,,false,,,,,,,,,,,,,,,,,kg,
love-rules-ruler-keyring,Love Rules Ruler Keyring,"<p>This new and practical 5cm metal ruler keychain has a shiny nickel finish and split ring.</p>
<p>It would make the perfect keyring .</p>
<p>Measures 6.3cm x 2.3cm x 0.3cm</p>",Kevro,Practical,"keychain, keyring, metal, new, practical, ruler",true,Title,Default Title,,,,,KV0050,0,shopify,517,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/ruler-keychain.jpg?v=1491815483,1,Love Rules Ruler Keyring,false,,Love rules ruler keyring is a practical  that adds a bit of fun to your table.  ,,,,,,,,,,,,,,,kg,
heart-shaped-leather-keyring,Heart shaped leather keyring,"<p>This beautiful new heart shaped leather keyring will make a welcome  at your love themed wedding.</p>
<p>Measuring 4.8cm x 5.1cm x 0.8cm</p>
<p>Available in white, red and pink</p>",Kevro,Practical,"heart, keyring, new, wedding",false,Title,White,,,,,KV0052,0,shopify,28,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/heart-shaped-leather-keyring---white.jpg?v=1491815481,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/heart-shaped-leather-keyring---white_grande_fbe15d21-4618-4d7f-b15a-3c2244481fbe.jpg?v=1491815481,kg,
heart-shaped-leather-keyring,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/heart-shaped-leather-keyring---white_grande_fbe15d21-4618-4d7f-b15a-3c2244481fbe.jpg?v=1491815481,2,,,,,,,,,,,,,,,,,,,,
heart-shaped-keyring,Heart shaped keyring,"<p>This beautiful new heart shaped leather keyring will make a welcome  at your love themed wedding.</p>
<p>Measuring 4.8cm x 5.1cm x 0.8cm</p>
<p>Available in white, red and pink</p>",Kevro,Practical,"heart, heart shaped, keyring, love, new, red",false,Title,Default Title,,,,,KV0052,0,shopify,3,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/heart-shaped-leather-keyring---red_5c1d13f0-a415-4bed-9017-ec45937bfeaf.jpg?v=1491815479,1,Heart shaped keyring,false,,This beautiful new heart shaped leather keyring will make a welcome  at your love themed wedding.,,,,,,,,,,,,,,,kg,
heart-shaped-keyring-1,Heart shaped keyring,"<h2>This beautiful new heart shaped leather keyring will make a welcome  at your love themed wedding.</h2>
<br>
<p>Measuring 4.8cm x 5.1cm x 0.8cm<br><br>Available in white, red and pink</p>",Kevro,Practical,"heart shaped, keyring, new",false,Title,Default Title,,,,,KV0052P,0,shopify,2,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/heart-shaped-leather-keyring---pink_c85b66e9-f9fa-4985-ae8c-818df4547b12.jpg?v=1491815478,1,,false,,,,,,,,,,,,,,,,,kg,
light-of-my-life-torch-keyring,Light of my life Torch Keyring,"<p>These adorable torch keyrings are perfect for the load shedding in South Africa and will remind your wedding guests how you light each others lives up with love, support and patience.  Give your guests practical s that they will use every day!  </p>
<p>The aluminium 6 LED torch with a carabineer hook measures 6 x 2.5cm and can be engraved. Supplied with batteries, simply remove the sticker at the back of the battery and start shinning some light.</p>",Macma,Practical,"fire, keyring, light, load shedding, new, practical, s, sale, south africa, torch, wedding",false,Color,Black Coal,,,,,80236,0,shopify,0,deny,manual,28.00,35.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Light_of_my_life_all.jpg?v=1491815478,1,,false,,The aluminium 6 LED torch with a carabineer hook is a practical gift that will keep your guests safe in the dark.,,,,,,,,,,,,,,,kg,
gem-torch-keyrings,Light of Love Torch Keyrings,"<p>Perfect load shedding s that will make all your guests from South Africa laugh.  This is also a very practical and stylish gift that will keep your guests save while walking to their cars at night. These brightly coloured 3 LED torch keyrings with gem stones are great as gifts for you female guests.  The s measures 11cm and can be engraved upon request.</p>
<p> </p>
<p>The shimmery diamante design is playful and adds an element of glamour to your s</p>",Macma,Practical,"bright, gems, guests, key, keyholder, keyring, keyrings, keys, ladies, load shedding, new, Practical, s, sale, south africa, torch, wedding",true,Color,Pink,,,,,88485,0,shopify,1140,continue,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Light_of_love_torches.jpg?v=1491815476,1,Light of love glam torch,false,,These brightly coloured 3 LED torch keyrings with gem stones are great as gifts for you female guests. Great to keep your guests safe at night,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Light_of_love_torch_Pink.jpg?v=1491815476,kg,
gem-torch-keyrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Light_of_love_torch_Pink.jpg?v=1491815476,2,,,,,,,,,,,,,,,,,,,,
whimsical-lear-hip-flask,Whimsical clear hip flask,"<p>Give your male guests s that they will absolutely love!! Our clear metal and plastic hip flasks holds 125ml fluid and measures 6.9 x 2.5 x 11.5cm, great for a warm summer wedding in South Africa.  We can also engrave on it at your request.  Please contact us for a quote on engraving.</p>",Macma,Practical,"flask, guests, men, practical, s, south africa, summer, wedding",false,Title,Default Title,,,,,6293766,0,shopify,0,deny,manual,45.00,60.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Transparent_and_metal_Flask.jpg?v=1491815473,1,Clear flask s,false,,,,,,,,,,,,,,,,,kg,
mini-fan-s,Mini USB Fan s,When load shedding hit the first thing that goes off is the aircon and in South Africa with it's hot summer that is a problem.  Why not give your wedding guests these practical little s as a gift?  They work with a USB port and can simply be plugged into a laptop or computer.<br><br>The fan fits perfectly on your desk and has a colourful plastic body with a cable that works with your USB port,Kevro,Practical,"fan, gift, guests, load shedding, new, practical, s, south africa, thank you, usb, wedding",true,Color,Clear,,,,,BE0033,0,shopify,124,deny,manual,65.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Blue_desk_fan.png?v=1491815471,1,Desktop USB Fan s,false,,"Mini USB Fan s, perfect for South Africa's hot summers.  Fan fits perfectly on a desk, and has a colourful body",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/White_desk_fan.png?v=1491815471,kg,
mini-fan-s,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/White_desk_fan.png?v=1491815471,2,,,,,,,,,,,,,,,,,,,,
power-bank-wedding-s,Power bank s,"<span>Practical s, perfect for South Africa's load shedding.  These adorable little power banks serves as a battery backup that will keep your guests mobile devices charged up when they need it the most.  Have the a personal note engraved on the power bank, to remind your guests of your wedding day.  Please e-mail us at info@simplys.co.za for more details and costs of engraving.<br><br>The 2,200 mAh internal battery has enough life to fully charge an iPhone, giving you about 8 hours of additional talk time. The 5V/1A USB output means that it charges at the same rate of most wall chargers. Includes a USB to Micro USB connecting cable which can recharge the battery backup or be used to charge up devices with a Micro USB input like Android Smartphones from Samsung, Motorola, HTC, Nokia, and others. Includes a drawstring pouch for easy transportation and keeping your cables and charger together</span><br><br><span>Aluminium power bank measures </span><span>9.5 ( l ) x 2.2 ( w ) x 2.2cm ( h ) lithium ion battery</span><br><span><br>Safety features: over voltage, over current, over load &amp; short circuit protection</span>",Macma,Practical,"gifts guests, guests, load shedding, men, power bank, practical, s, south africa, thank you, wedding",true,Color,Black,,,,,43029,500,shopify,0,deny,manual,110.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Power_bank.jpg?v=1491815469,1,Power bank s,false,,"Practical s, perfect for South Africa's electricity cuts.  The power banks serves as a battery backup",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Black_Power_bank.jpg?v=1491815469,kg,
